Year,TI_P_GDP,GNS_P_GDP,INFLATION_GROWTH,VOLUME_IGS_PC,VOLUME_EGS_PC,UNEMPLOYEMENT_P_LF,CUR_BAL_P_GDP,GDP_GROWTH
1981,24.277,23.195,10.378,2.61,1.219,7.617,0.157,2.538
1982,22.071,21.706,6.158,-1.275,-7.661,9.708,-0.165,-1.802
1983,22.253,19.721,3.16,12.62,-2.589,9.6,-1.065,4.584
1984,25.096,21.834,4.368,24.338,8.157,7.508,-2.337,7.237
1985,24.188,20.302,3.528,6.493,3.356,7.192,-2.723,4.169
1986,23.741,18.877,1.944,8.536,7.649,7,-3.214,3.463
1987,23.62,19.543,3.578,5.936,10.93,6.175,-3.309,3.46
1988,22.828,20.561,4.1,3.931,16.218,5.492,-2.314,4.177
1989,22.514,19.672,4.791,4.405,11.576,5.258,-1.763,3.673
1990,21.529,18.671,5.419,3.577,8.82,5.617,-1.324,1.886
1991,20.111,18.729,4.216,-0.151,6.614,6.85,0.047,-0.108
1992,20.078,17.6,3.042,7.009,6.928,7.492,-0.792,3.522
1993,20.394,16.963,2.97,8.646,3.276,6.908,-1.237,2.753
1994,21.279,17.772,2.596,11.925,8.836,6.1,-1.669,4.029
1995,21.273,18.669,2.805,8.006,10.279,5.592,-1.487,2.684
1996,21.702,19.557,2.937,8.692,8.174,5.408,-1.546,3.772
1997,22.41,20.758,2.338,13.47,11.914,4.942,-1.641,4.447
1998,22.958,21.302,1.547,11.688,2.331,4.5,-2.373,4.481
1999,23.42,20.874,2.193,11.299,4.984,4.217,-2.994,4.753
2000,23.675,20.749,3.367,12.885,8.343,3.967,-3.935,4.127
2001,22.177,19.627,2.817,-2.803,-5.783,4.742,-3.683,0.999
2002,21.708,18.32,1.596,3.636,-1.739,5.783,-4.122,1.742
2003,21.742,17.382,2.298,4.917,2.185,5.992,-4.527,2.861
2004,22.659,17.72,2.668,11.399,9.666,5.542,-5.171,3.799
2005,23.381,18.147,3.366,6.53,7.129,5.083,-5.716,3.513
2006,23.539,19.24,3.222,6.631,9.342,4.608,-5.834,2.855
2007,22.592,17.552,2.871,2.498,8.703,4.617,-4.92,1.876
2008,21.119,15.233,3.815,-2.227,5.659,5.8,-4.631,-0.137
2009,17.805,13.899,-0.32,-13.083,-8.397,9.283,-2.578,-2.537
2010,18.743,15.423,1.637,13.128,12.137,9.608,-2.877,2.564
2011,19.104,16.451,3.14,5.635,7.14,8.933,-2.867,1.551
2012,20.021,18.744,2.073,2.706,3.407,8.075,-2.635,2.249
2013,20.414,19.173,1.466,1.544,3.577,7.358,-2.078,1.842
2014,20.806,20.313,1.615,4.997,4.213,6.158,-2.084,2.526
2015,21.093,20.164,0.119,5.288,0.472,5.275,-2.237,2.908
2016,20.379,18.619,1.27,1.992,-0.014,4.875,-2.289,1.638
2017,20.623,18.579,2.136,4.707,3.478,4.35,-2.252,2.37
2018,20.969,18.441,2.435,4.367,3.016,3.892,-2.386,2.927
2019,21.103,18.507,1.818,2.14,0.326,3.725,-2.516,2.35
2020,21.099,18.549,2.266,3.051,2.982,3.534,-2.55,2.089
2021,21.195,18.738,2.431,2.772,3.123,3.546,-2.457,1.746
2022,21.266,18.881,2.336,2.109,2.947,3.591,-2.384,1.559
2023,21.332,18.96,2.302,2.427,3.213,3.698,-2.372,1.58
2024,21.402,19.127,2.285,2.074,3.139,3.865,-2.274,1.62
